start_timestamp,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z
2390025.428,-592.11,245.75,2943.9
2390035.414,-634.59,264.52,3160.01
2390045.409,-662.79,276.51,3302.86
2390055.401,-698.39,291.25,3485.15
2390065.397,-759.41,317.11,3790.08
2390075.383,-806.6,333.95,4030.48
2390085.404,-826.34,341.8,4138.32
2390095.4,-761.74,313.71,3808.03
2390105.392,-782.04,319.45,3913.93
2390115.383,-822.56,328.4,4111.37
2390125.371,-751.36,293.18,3740.84
2390135.364,-750.35,288.87,3705.5
2390145.36,-857.28,324.44,4200.55
2390155.347,-724.94,271.93,3528.88
2390165.341,-247.35,120.75,1270.72
2390175.331,-222.86,203.31,1822.78
2390185.325,-21.0,105.02,1286.56
2390195.314,235.0,87.94,1589.5
2390205.305,352.65,113.17,1916.03
2390215.301,336.59,97.83,1749.22
2390225.322,335.54,94.65,1730.2
2390235.31,299.78,79.68,1550.17
2390245.304,239.69,56.99,1231.55
2390255.295,278.87,71.63,1462.84
2390265.291,335.91,92.46,1789.56
2390275.276,309.76,82.46,1660.05
2390285.269,295.72,75.84,1588.84
2390295.264,301.31,77.69,1629.78
2390305.254,299.7,77.38,1639.42
2390315.245,282.35,70.88,1553.48
2390325.235,268.33,65.63,1482.52
2390335.228,268.72,67.1,1502.43
2390345.225,274.58,70.22,1552.88
2390355.241,278.46,70.65,1576.48
2390365.236,272.39,67.3,1535.97
2390375.226,273.21,68.09,1546.16
2390385.218,276.52,70.69,1580.71
2390395.209,274.28,69.66,1566.34
2390405.2,274.88,69.29,1568.33
2390415.195,302.65,80.44,1738.32
2390425.186,343.87,99.87,1988.62
2390435.173,295.83,89.23,1676.56
2390445.168,248.84,76.39,1385.29
2390455.158,238.93,75.25,1326.08
2390465.155,270.68,89.86,1500.61
2390475.141,251.96,81.1,1387.42
2390485.162,236.49,73.82,1293.25
2390495.157,243.23,76.64,1329.5
2390505.15,252.81,81.78,1381.36
2390515.14,235.8,74.71,1281.83
2390525.13,189.92,54.91,1019.52
2390535.122,200.75,59.89,1075.82
2390545.118,236.4,74.66,1268.12
2390555.103,229.86,69.71,1225.02
2390565.099,180.56,48.43,950.81
2390575.09,183.16,50.16,961.06
2390585.083,226.74,68.92,1190.55
2390595.072,203.21,57.95,1038.04
2390605.094,68.92,2.44,338.19
2390615.089,11.77,-0.2,229.28
2390625.08,-19.83,10.83,318.35
2390635.068,47.53,-32.11,-133.82
2390645.062,-87.45,15.13,391.3
2390655.053,-942.21,335.68,4114.37
2390665.049,-959.22,333.19,4140.1
2390675.035,-845.99,277.41,3668.96
2390685.025,-889.38,288.17,3886.23
2390695.022,-710.33,224.75,3106.68
2390705.013,-657.77,205.19,2894.22
2390715.002,-621.37,190.58,2736.41
2390724.994,-553.28,165.73,2425.29
2390735.016,-603.85,182.82,2660.45
2390745.013,-672.98,204.97,2994.98
2390754.998,-585.35,170.87,2625.64
2390764.993,-581.07,167.81,2614.45
2390774.983,-535.0,152.21,2396.43
2390784.976,-518.31,145.18,2317.05
2390794.966,-584.61,166.63,2627.76
2390804.956,-583.41,169.66,2638.45
2390814.951,-598.64,182.56,2720.44
2390824.944,-627.34,198.13,2875.23
2390834.931,-671.53,216.83,3106.35
2390844.926,-654.02,214.62,3038.11
2390854.916,-630.38,212.18,2929.64
2390864.912,-632.56,216.61,2943.98
2390874.928,-657.07,229.96,3077.05
2390884.92,-655.94,234.33,3087.32
2390894.915,-637.3,230.07,2993.77
2390904.907,-672.31,245.75,3159.93
2390914.896,-738.72,272.91,3465.71
2390924.887,-750.66,279.19,3509.62
2390934.881,-750.32,278.97,3474.13
2390944.876,-860.84,321.79,3962.18
2390954.862,-901.19,337.63,4146.27
2390964.856,-934.09,352.42,4286.73
2390974.847,-863.45,322.05,3928.57
2390984.84,-932.04,346.61,4232.06
2390994.829,-1007.73,375.41,4584.63
2391004.85,-1031.95,375.67,4632.23
2391014.847,-1419.1,538.37,6205.21
2391024.838,-1302.56,669.57,6467.65
2391034.825,-703.4,732.45,6328.74
2391044.82,117.19,647.59,6364.37
2391054.81,850.49,574.34,6874.98
2391064.806,904.96,444.38,5783.89
2391074.793,546.96,237.24,3272.84
2391084.784,369.93,150.56,2183.65
2391094.78,333.64,137.48,2016.17
